,listingID,sold,longitude,latitude,Price,district,county,parish,Title,Description,Ano,lift,parking,others,floor,type,toilets,private_area,area_gross,total_area,net_area,EVcharging
58,121021422-22,False,-9.14334583282471,38.7206573486328,5400000.0,Lisboa,Lisboa,Santo António,"Moradia T4 de luxo à venda em Santo António, Lisboa | RE/MAX Collection","Moradia T4 em constru&ccedil;&atilde;o.
Projeto de constru&ccedil;&atilde;o nova, casa com 540m2 &aacute; 300 metros da Avenida da Liberdade.
Casa de ",2021,Sim,3+ Lug.,Piscina;Urbano;Centro da Cidade;Moradia;Perto de Autoestrada;Perto de Escola(s);Perto de Hospital;Perto de Parque;Porta Automática;Sul;Vista para o Mar;Terraço;Ar Condicionado;Em Construção;Oeste;Perto de Igreja;Perto de Ginásio;Perto de Lojas;Perto de Jardim;Sistema de Vigilância;Perto de Transportes Públicos,--,4,5,540,--,173,500,
59,126351006-48,False,-9.11059093475342,38.7587547302246,920000.0,Lisboa,Lisboa,Olivais,"Moradia T4 à venda em Olivais, Lisboa | RE/MAX","Excelente moradia T5, situada numa zona apraz&iacute;vel que oferece uma combina&ccedil;&atilde;o de qualidade e tranquilidade.&nbsp;
Todas as assoalh",1969,Não,1 Lug.,Urbano;Terraço;Aquecimento;Gás;Mosaico;Piscina exterior;Chão em Madeira Maciça;Vizinhança;Arrecadação;Local sossegado;Perto de Autoestrada;Perto do Aeroporto;Perto de Igreja;Norte;Oeste;Saneamento Básico;Com Rede Informática;Lavagem de Roupa (no interior);Piscina;Cozinha Equipada;Ar Condicionado;Madeira;Jardim;Lareira;Pinturas;Perto de Transportes Públicos;Energias Renováveis;Residencial;Perto de Escola(s);Trânsito de Acesso Fácil;Perto de Jardim;Sul;Internet;Água;Electricidade;Moradia,--,4,4,145,--,253,145,
60,123751418-17,False,-9.13946056365967,38.7405242919922,845000.0,Lisboa,Lisboa,Areeiro,"Moradia T3 de luxo à venda em Areeiro, Lisboa | RE/MAX Collection","Moradia nova, constru&iacute;da com materiais nobres e de qualidade superior com projeto e assinatura de dois arquitetos.
&nbsp;
Com Aproveitamento de",2021,Não,Não,Moradia;Cozinha Equipada;Terraço;Ar Condicionado;Aquecimento,--,3,3,121,--,--,109,
61,120881407-18,False,-9.1226053237915,38.7743186950684,650000.0,Lisboa,Lisboa,Olivais,"Moradia T3 à venda em Olivais, Lisboa | RE/MAX","Moradia geminada T3+1, distribu&iacute;da por 2 pisos, num dos bairros mais emblem&aacute;ticos da cidade de Lisboa, o Bairro da Encarna&ccedil;&atild",1985,Não,2 Lug.,,--,3,2,148,--,162,148,
62,125191045-57,False,-9.21372890472412,38.7042427062988,2500000.0,Lisboa,Lisboa,Belém,"Moradia T14 à venda em Belém, Lisboa | RE/MAX","Moradia de 3 pisos independentes com 460m2 de &aacute;rea total, num terreno de 652m2 com piscina numa das melhores zonas de moradias do Restelo e com",1965,Não,2 Lug.,Moradia;Piscina;Este;Perto de Transportes Públicos;Norte;Saneamento Básico;Água (Furo);Jardim;Varanda;Arrecadação;Perto de Água;Sul;Gás Natural;Electricidade,--,14,5,460,460,652,326,
63,120261399-120,False,-9.14665699005127,38.7407531738281,3300000.0,Lisboa,Lisboa,Avenidas Novas,"Moradia T5 à venda em Avenidas Novas, Lisboa | RE/MAX","Titulo: Moradia BAIRRO S&Atilde;O MIGUEL-ALVALADE.
Uma moradia &uacute;nica, localizada na Pra&ccedil;a Andrade Caminha, freguesia de Alvalade.
Quatro",1952,Não,1 Lug.,Moradia;Centro da Cidade;Perto de Transportes Públicos;Terraço;Quintal;Sistema de Segurança;Urbano;Sudoeste;Este;Piscina;Perto de Parque;Jardim;Varanda;Arrecadação;Vistas Exteriores;Sul;Sudeste,R/C,5,2,500,--,--,500,
64,120611219-108,False,-9.12133884429932,38.7747344970703,798000.0,Lisboa,Lisboa,Olivais,"Moradia T3 à venda em Olivais, Lisboa | RE/MAX","Elegante Moradia T3 com localiza&ccedil;&atilde;o privilegiada no emblem&aacute;tico Bairro da Encarna&ccedil;&atilde;o. Com um lote de 200m2, e &aacu",1965,Não,Não,Moradia;Lareira;Infra-Estruturas;Piscina;Pladur,--,3,3,154,--,200,139,
65,125321007-39,False,-9.1403865814209,38.7400550842285,890000.0,Lisboa,Lisboa,Areeiro,"Moradia T5 à venda em Areeiro, Lisboa | RE/MAX","Fant&aacute;stica moradia de 8 assoalhadas localizada num dos bairros mais emblem&aacute;ticos da cidade de Lisboa - Bairro do Arco Cego.
A moradia di",1934,Não,Não,Terraço;Gás;Casa com Quartos no Sótão;Lareira;Perto de Lojas;Local sossegado;Perto de Igreja;Perto de Jardim;Centro da Cidade;Campo;Jardim;Perto de Transportes Públicos;Arrecadação;Estacionamento Autorizado;Perto de Ginásio;Perto do Aeroporto;Perto de Escola(s);Trânsito de Acesso Fácil;Perto de Hospital;Moradia;Urbano,--,5,4,198,198,56,167,
66,123751255-46,False,-9.20526313781738,38.7125701904297,370000.0,Lisboa,Lisboa,Ajuda,"Moradia T2 à venda em Ajuda, Lisboa | RE/MAX","MORADIA | CARAM&Atilde;O DA AJUDA
Excelente Moradia, com &oacute;tima exposi&ccedil;&atilde;o solar e um bom Logradouro, localizada no Caram&atilde;o ",1950,Não,Não,Moradia;Este;Praia,--,2,1,66,--,--,62,
67,124021040-96,False,-9.21451950073242,38.698127746582,5450000.0,Lisboa,Lisboa,Belém,"Moradia T8 de luxo à venda em Belém, Lisboa | RE/MAX Collection","Propriedade no Restelo
&nbsp;
Propriedade situada na zona prime do Restelo, perto do Mosteiro dos Jer&oacute;nimos, do Centro Cultural de Bel&eacute;m",1947,Não,3+ Lug.,Sistema de Segurança;Vistas Exteriores;Despensa;Este;Urbano;Terraço;Jardim;Arrecadação;Moradia;Sul;Usado Remodelado,--,8,5,790,790,2 519,392,
